Name,source,cell_group,status
Mem_B-U,GSE118189_Calderon,B,U
Naive_B-S,GSE118189_Calderon,B,S
CD8pos_T-S,GSE118189_Calderon,CD8_T,S
Central_memory_CD8pos_T-S,GSE118189_Calderon,CD8_T,S
Effector_memory_CD8pos_T-S,GSE118189_Calderon,CD8_T,S
Naive_CD8_T-U,GSE118189_Calderon,CD8_T,U
Gamma_delta_T-U,GSE118189_Calderon,Gamma_delta_T,U
Effector_CD4pos_T-S,GSE118189_Calderon,CD4_T,S
Follicular_T_Helper-U,GSE118189_Calderon,CD4_T,U
Memory_Teffs-U,GSE118189_Calderon,CD4_T,U
Memory_Tregs-U,GSE118189_Calderon,CD4_T,U
Memory_Tregs-S,GSE118189_Calderon,CD4_T,S
Naive_Teffs-S,GSE118189_Calderon,CD4_T,S
Th1_precursors-U,GSE118189_Calderon,CD4_T,U
Th2_precursors-U,GSE118189_Calderon,CD4_T,U
Mature_NK-U,GSE118189_Calderon,NK,U
Monocytes-U,GSE118189_Calderon,Myeloid,U
Myeloid_DCs-U,GSE118189_Calderon,Myeloid,U
Bulk_B-U,GSE118189_Calderon,B,U
Mem_B-S,GSE118189_Calderon,B,S
Effector_memory_CD8pos_T-U,GSE118189_Calderon,CD8_T,U
Gamma_delta_T-S,GSE118189_Calderon,Gamma_delta_T,S
Follicular_T_Helper-S,GSE118189_Calderon,CD4_T,S
Memory_Teffs-S,GSE118189_Calderon,CD4_T,S
Naive_Teffs-U,GSE118189_Calderon,CD4_T,U
Regulatory_T-U,GSE118189_Calderon,CD4_T,U
Th17_precursors-U,GSE118189_Calderon,CD4_T,U
Immature_NK-U,GSE118189_Calderon,NK,U
Memory_NK-U,GSE118189_Calderon,NK,U
Monocytes-S,GSE118189_Calderon,Myeloid,S
pDCs-U,GSE118189_Calderon,Myeloid,U
Naive_B-U,GSE118189_Calderon,B,U
Mature_NK-S,GSE118189_Calderon,NK,S
Central_memory_CD8pos_T-U,GSE118189_Calderon,CD8_T,U
Plasmablasts-U,GSE118189_Calderon,Myeloid,U
Naive_Tregs-S,GSE118189_Calderon,CD4_T,S
Regulatory_T-S,GSE118189_Calderon,CD4_T,S
Th1_precursors-S,GSE118189_Calderon,CD4_T,S
CD8pos_T-U,GSE118189_Calderon,CD8_T,U
Naive_CD8_T-S,GSE118189_Calderon,CD8_T,S
Bulk_B-S,GSE118189_Calderon,B,S
Effector_CD4pos_T-U,GSE118189_Calderon,CD4_T,U
Th17_precursors-S,GSE118189_Calderon,CD4_T,S
Th2_precursors-S,GSE118189_Calderon,CD4_T,S
Naive_Tregs-U,GSE118189_Calderon,CD4_T,U
HSC,GSE74912_Corces,Progenitor,U
MPP,GSE74912_Corces,Progenitor,U
LMPP,GSE74912_Corces,Progenitor,U
CMP,GSE74912_Corces,Progenitor,U
GMP,GSE74912_Corces,Progenitor,U
MEP,GSE74912_Corces,Progenitor,U
Mono,GSE74912_Corces,Myeloid,U
Bcell,GSE74912_Corces,B,U
CD4Tcell,GSE74912_Corces,CD4_T,U
CD8Tcell,GSE74912_Corces,CD8_T,U
NKcell,GSE74912_Corces,NK,U
CLP,GSE74912_Corces,Progenitor,U
Ery,GSE74912_Corces,Myeloid,U